答题时长,1.主要角色,2.专业GUI开发经验年限,3.主要开发的应用程序类型:Web 应用程序,3.主要开发的应用程序类型:桌面应用程序,3.主要开发的应用程序类型:移动应用程序,3.主要开发的应用程序类型:其他,4.在GUI开发中，您使用AI驱动的代码生成工具的频率如何？,5.在GUI开发中，您使用AI驱动的设计到代码工具（例如，Builder.io， Anima， Locofy.ai， UI2Code.ai）的频率如何？,6.请根据您在GUI开发阶段的经验，评价您对以下陈述的同意程度:可用的GUI工具（例如，IDE、UI框架）功能不足以满足我的需求。,6.请根据您在GUI开发阶段的经验，评价您对以下陈述的同意程度:很难找到GUI开发的相关信息（例如，文档、社区支持）。,6.请根据您在GUI开发阶段的经验，评价您对以下陈述的同意程度:管理依赖项和库（例如，组件、图标）很复杂。,6.请根据您在GUI开发阶段的经验，评价您对以下陈述的同意程度:由于GUI技术的快速演进，持续学习对于保持竞争力至关重要。,7.请根据您在GUI开发阶段的经验，评价您对以下陈述的同意程度:设计师与开发人员之间的沟通不清晰或效率低下，导致返工。,7.请根据您在GUI开发阶段的经验，评价您对以下陈述的同意程度:处理遗留的GUI代码令人沮丧且缺乏动力。,7.请根据您在GUI开发阶段的经验，评价您对以下陈述的同意程度:硬件资源不足以满足GUI开发的需求。,8.请根据您在GUI开发阶段的经验，评价您对以下陈述的同意程度:清晰的架构模式（如MVC）对于可维护的GUI至关重要。,8.请根据您在GUI开发阶段的经验，评价您对以下陈述的同意程度:跨设备实现响应式布局很复杂。,8.请根据您在GUI开发阶段的经验，评价您对以下陈述的同意程度:实现高性能的GUI需要过多的优化工作。,8.请根据您在GUI开发阶段的经验，评价您对以下陈述的同意程度:根据设计稿实现组件和样式很困难。,8.请根据您在GUI开发阶段的经验，评价您对以下陈述的同意程度:实现数据绑定和组件交互很困难。,8.请根据您在GUI开发阶段的经验，评价您对以下陈述的同意程度:调试GUI代码需要付出大量努力。,9.请根据您在GUI开发阶段的经验，评价您对以下陈述的同意程度:设计到代码工具（Builder.io， Anima， Locofy.ai， UI2Code.ai…）能够正确识别GUI元素并生成相应的代码。,9.请根据您在GUI开发阶段的经验，评价您对以下陈述的同意程度:设计到代码工具（Builder.io， Anima， Locofy.ai， UI2Code.ai…）不能很好地集成到工作流程中。,9.请根据您在GUI开发阶段的经验，评价您对以下陈述的同意程度:AI代码工具缺乏对GUI开发场景的上下文理解。,9.请根据您在GUI开发阶段的经验，评价您对以下陈述的同意程度:AI代码工具不能完全支持GUI领域的特定语言和框架。,9.请根据您在GUI开发阶段的经验，评价您对以下陈述的同意程度:AI生成的代码难以调试和维护。,10.请根据您在GUI开发阶段的经验，评价您对以下陈述的同意程度:存在适当的开发方法来确保可访问性。,10.请根据您在GUI开发阶段的经验，评价您对以下陈述的同意程度:制作可访问的GUI很困难。,10.请根据您在GUI开发阶段的经验，评价您对以下陈述的同意程度:GUI开发工具有助于制作可访问的GUI。,11.在GUI编码中，您还面临哪些其他重大障碍？,12.对工具、框架或团队流程的哪项改进最能提升您的GUI开发工作流程？
287,E.其他,A.不足1年,A.Web 应用程序,,,,C.经常,C.经常,3,4,4,5,4,5,4,5,3,4,3,4,5,4,3,4,5,4,4,4,5,GUI 组件复用性差，重复编写相似界面逻辑；可视化调试工具不足，界面问题定位耗时，且用户交互反馈的实时响应优化难度大。,框架层面，简化复杂交互的状态管理逻辑，提供更多开箱即用的通用组件；工具层面，增强 GUI 代码的实时预览与一键调试功能，降低上手门槛。
294,A.前端开发工程师,C.3-5年,A.Web 应用程序,,,,C.经常,C.经常,2,2,3,4,4,4,4,5,4,4,3,3,3,4,3,3,3,3,4,3,3,暂时没有,暂时没有
39,D.游戏客户端工程师,C.3-5年,A.Web 应用程序,,C.移动应用程序,,A.从不,B.很少,5,5,5,5,2,5,5,5,5,5,5,5,5,1,5,5,5,5,5,5,5,,
21,C.移动端开发工程师（iOS/Android/跨平台）,C.3-5年,A.Web 应用程序,,C.移动应用程序,D.其他,C.经常,C.经常,4,1,4,3,4,5,4,4,4,4,2,4,2,4,4,4,4,4,3,4,4,,
23,A.前端开发工程师,B.1-3年,A.Web 应用程序,,C.移动应用程序,,C.经常,C.经常,2,2,2,2,4,2,2,2,2,2,5,2,2,2,1,2,5,2,2,2,2,,
45,C.移动端开发工程师（iOS/Android/跨平台）,D.5年以上,A.Web 应用程序,,C.移动应用程序,,C.经常,C.经常,4,4,4,4,4,3,4,4,4,4,4,4,5,4,4,4,4,4,4,3,4,,
49,E.其他,D.5年以上,A.Web 应用程序,B.桌面应用程序,,,C.经常,B.很少,5,5,5,5,5,5,5,5,5,5,5,1,5,5,2,5,5,5,5,5,5,,
145,E.其他,A.不足1年,,,C.移动应用程序,,B.很少,A.从不,5,3,3,4,5,4,3,5,4,5,3,4,5,5,4,5,5,4,5,3,4,暂无,框架
211,A.前端开发工程师,A.不足1年,A.Web 应用程序,B.桌面应用程序,,,B.很少,B.很少,4,4,4,4,4,3,3,3,3,3,4,4,3,3,4,4,3,3,4,3,3,不能实时更新,团队协作
128,A.前端开发工程师,A.不足1年,A.Web 应用程序,,C.移动应用程序,,C.经常,B.很少,2,3,4,5,4,3,4,4,3,4,5,4,3,4,5,4,5,4,3,3,4,GUI设计师输出的设计稿可能存在细节标注不清晰、交互逻辑描述模糊的问题，开发人员需反复沟通确认，导致开发周期延长；且设计稿的像素级还原难度大，易出现视觉偏差。,统一团队的GUI开发框架（如前端选用React+Ant Design、桌面端选用Qt），基于框架封装通用的UI组件库和交互逻辑库，避免重复开发；升级框架至最新稳定版本，利用框架新增的性能优化特性（如虚拟列表、懒加载）提升开发效率和界面性能。
35,E.其他,D.5年以上,A.Web 应用程序,,C.移动应用程序,,B.很少,C.经常,3,2,3,3,3,3,2,5,3,3,3,3,3,1,3,3,3,2,3,3,3,,
29,C.移动端开发工程师（iOS/Android/跨平台）,D.5年以上,A.Web 应用程序,B.桌面应用程序,C.移动应用程序,,C.经常,C.经常,4,5,4,5,5,4,5,4,5,4,5,4,5,4,5,4,5,4,5,4,5,好,好
57,A.前端开发工程师,D.5年以上,A.Web 应用程序,,C.移动应用程序,,C.经常,C.经常,2,2,2,2,2,2,2,2,2,2,2,1,2,4,2,2,3,1,2,2,2,,
45,D.游戏客户端工程师,D.5年以上,A.Web 应用程序,B.桌面应用程序,,,C.经常,C.经常,5,5,5,5,5,4,5,5,4,5,5,5,5,5,5,5,5,5,5,5,5,,
96,D.游戏客户端工程师,A.不足1年,A.Web 应用程序,B.桌面应用程序,C.移动应用程序,,B.很少,C.经常,4,3,5,4,4,5,4,3,4,5,4,5,4,4,5,5,4,4,4,4,5,目前还没有,多元化
166,B.全栈开发工程师,D.5年以上,A.Web 应用程序,B.桌面应用程序,C.移动应用程序,,C.经常,C.经常,2,2,2,4,4,4,3,4,3,4,3,2,4,4,2,3,3,3,4,3,4,后期修改麻烦,能让后期改动更方便
28,D.游戏客户端工程师,A.不足1年,A.Web 应用程序,B.桌面应用程序,C.移动应用程序,,B.很少,C.经常,3,4,3,4,3,3,4,2,3,3,3,3,3,3,1,3,3,5,3,3,3,,
310,C.移动端开发工程师（iOS/Android/跨平台）,D.5年以上,,,C.移动应用程序,,C.经常,C.经常,2,2,2,5,1,2,2,4,4,5,4,4,4,4,2,2,1,2,4,2,4,跨平台兼容性问题，性能优化难题，还有就是团队协作与版本管理,引入自动化测试工具，自动检测跨平台跨浏览器的渲染和问题，减少人工调试时间，使用性能，分析工具，精准定位渲染性能，瓶颈辅助，优化代码
698,E.其他,A.不足1年,,,,D.其他,A.从不,B.很少,3,3,3,3,3,3,3,2,5,4,3,5,4,4,4,3,4,4,5,3,5,乱码，未指定编码或使用默认编码，中文字符有时候无法正式显示,流程更简化，代码统一规范，设计稿出代码更方便
37,C.移动端开发工程师（iOS/Android/跨平台）,D.5年以上,A.Web 应用程序,B.桌面应用程序,C.移动应用程序,,B.很少,B.很少,2,2,2,4,2,2,2,4,2,2,2,2,2,4,2,2,2,2,4,2,4,没有,没有
45,C.移动端开发工程师（iOS/Android/跨平台）,C.3-5年,A.Web 应用程序,,C.移动应用程序,,C.经常,B.很少,3,3,3,4,3,3,4,3,3,3,1,2,5,3,1,3,3,4,3,3,3,,
47,B.全栈开发工程师,B.1-3年,A.Web 应用程序,,C.移动应用程序,,B.很少,B.很少,3,3,2,3,3,3,5,3,3,2,1,3,3,4,3,3,3,3,3,3,3,,
39,E.其他,B.1-3年,A.Web 应用程序,B.桌面应用程序,C.移动应用程序,,C.经常,C.经常,3,3,3,3,3,3,5,5,4,5,3,3,4,2,3,3,3,4,3,3,4,,
47,A.前端开发工程师,B.1-3年,A.Web 应用程序,,,,B.很少,B.很少,4,3,4,5,4,5,3,3,4,5,4,3,4,3,4,4,5,4,3,4,5,偶有BUG排查困难,希望加强功能插件
53,E.其他,B.1-3年,A.Web 应用程序,B.桌面应用程序,C.移动应用程序,,C.经常,B.很少,1,1,1,1,2,1,2,4,1,1,1,1,1,1,1,1,5,1,3,1,4,,
178,B.全栈开发工程师,B.1-3年,A.Web 应用程序,B.桌面应用程序,C.移动应用程序,,C.经常,C.经常,2,2,3,5,4,5,2,5,3,4,2,4,5,4,2,4,3,3,5,2,4,与客户沟通需求时会提出一些几乎难以做到的功能,沟通需求方面
37,B.全栈开发工程师,B.1-3年,A.Web 应用程序,,C.移动应用程序,,C.经常,A.从不,4,4,4,2,4,4,4,4,4,2,4,4,4,3,5,1,4,5,4,4,4,,
41,B.全栈开发工程师,B.1-3年,A.Web 应用程序,,C.移动应用程序,,A.从不,C.经常,5,5,5,5,5,4,5,5,5,5,5,5,5,5,5,5,5,5,5,4,3,,
24,D.游戏客户端工程师,D.5年以上,A.Web 应用程序,,C.移动应用程序,,B.很少,A.从不,1,4,1,5,5,3,1,1,4,5,1,5,1,1,1,1,1,1,1,1,1,,
31,D.游戏客户端工程师,A.不足1年,A.Web 应用程序,,C.移动应用程序,,B.很少,B.很少,4,4,5,4,5,4,4,5,4,4,4,4,5,5,4,5,3,4,4,4,2,,
35,E.其他,A.不足1年,A.Web 应用程序,,C.移动应用程序,,C.经常,B.很少,3,3,2,3,3,2,3,4,4,3,3,3,2,1,3,3,3,3,1,2,1,,
74,B.全栈开发工程师,A.不足1年,,B.桌面应用程序,,,A.从不,A.从不,4,5,4,5,4,3,4,4,5,4,5,4,5,4,4,4,2,2,3,4,3,目前暂无,暂无
32,C.移动端开发工程师（iOS/Android/跨平台）,D.5年以上,A.Web 应用程序,B.桌面应用程序,C.移动应用程序,,C.经常,C.经常,5,4,5,4,4,4,5,5,4,5,4,5,4,5,4,5,4,5,4,5,4,好,好
25,C.移动端开发工程师（iOS/Android/跨平台）,B.1-3年,A.Web 应用程序,,C.移动应用程序,,C.经常,C.经常,1,1,1,5,1,1,1,1,1,1,3,1,1,2,1,1,1,5,1,4,4,,
32,C.移动端开发工程师（iOS/Android/跨平台）,B.1-3年,,B.桌面应用程序,C.移动应用程序,,C.经常,B.很少,2,2,2,2,2,2,2,2,2,2,2,2,3,2,2,2,2,4,2,5,2,,
44,C.移动端开发工程师（iOS/Android/跨平台）,B.1-3年,A.Web 应用程序,,C.移动应用程序,,C.经常,C.经常,2,1,2,4,2,1,3,3,2,2,2,2,1,1,1,2,3,1,2,2,2,,
50,B.全栈开发工程师,C.3-5年,,B.桌面应用程序,,,B.很少,C.经常,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,速率提不起,无
52,A.前端开发工程师,C.3-5年,,B.桌面应用程序,C.移动应用程序,,B.很少,C.经常,3,3,3,3,3,3,3,1,3,3,3,3,3,2,3,3,3,3,3,3,3,,
21,C.移动端开发工程师（iOS/Android/跨平台）,C.3-5年,,B.桌面应用程序,C.移动应用程序,,C.经常,C.经常,4,4,2,3,4,4,4,4,4,1,4,4,4,4,4,4,4,4,4,3,4,,
36,E.其他,A.不足1年,A.Web 应用程序,B.桌面应用程序,C.移动应用程序,,C.经常,A.从不,1,2,1,1,1,5,1,1,1,1,1,1,4,5,1,1,1,1,1,1,1,,
35,E.其他,B.1-3年,A.Web 应用程序,B.桌面应用程序,C.移动应用程序,,B.很少,C.经常,4,4,4,4,4,3,4,4,4,4,4,4,4,2,1,4,4,4,4,4,4,,
34,D.游戏客户端工程师,D.5年以上,A.Web 应用程序,B.桌面应用程序,,,B.很少,C.经常,4,4,4,4,4,4,4,4,5,3,4,5,3,4,3,4,4,4,4,4,3,,
27,B.全栈开发工程师,D.5年以上,A.Web 应用程序,B.桌面应用程序,,,C.经常,B.很少,4,4,2,4,3,4,4,4,3,4,4,5,3,4,4,4,4,4,4,4,5,,
55,A.前端开发工程师,B.1-3年,A.Web 应用程序,B.桌面应用程序,,,C.经常,C.经常,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,没有,无
142,A.前端开发工程师,D.5年以上,A.Web 应用程序,,,,B.很少,B.很少,3,2,3,3,2,2,4,2,3,4,3,3,3,2,4,2,3,4,3,3,3,暂无,暂无
58,C.移动端开发工程师（iOS/Android/跨平台）,D.5年以上,,B.桌面应用程序,C.移动应用程序,,C.经常,C.经常,3,3,3,3,3,3,4,3,3,1,1,1,1,3,3,4,3,3,3,3,3,,
51,A.前端开发工程师,D.5年以上,A.Web 应用程序,,C.移动应用程序,,C.经常,C.经常,1,1,1,1,1,1,1,5,1,5,1,1,1,4,4,4,4,4,5,1,1,前端样式理解困难,提高大模型的理解能力
139,B.全栈开发工程师,C.3-5年,A.Web 应用程序,B.桌面应用程序,C.移动应用程序,,B.很少,B.很少,3,3,3,4,3,4,4,3,4,4,3,2,3,2,3,4,4,4,4,3,3,跨平台偏底层的实现,加入合适的ai
56,A.前端开发工程师,D.5年以上,A.Web 应用程序,,C.移动应用程序,,A.从不,B.很少,4,4,2,4,4,4,4,4,4,4,3,4,4,4,4,4,3,1,4,4,4,,
66,A.前端开发工程师,B.1-3年,A.Web 应用程序,,C.移动应用程序,,B.很少,B.很少,3,4,3,4,3,3,4,4,3,4,2,3,3,3,3,4,3,4,3,4,3,无,无
136,E.其他,A.不足1年,,,,D.其他,A.从不,A.从不,2,2,2,1,2,1,2,2,3,2,1,2,5,2,2,2,2,2,2,2,2,很少,很少
99,D.游戏客户端工程师,B.1-3年,A.Web 应用程序,,,,B.很少,B.很少,3,3,4,5,3,4,4,3,4,4,4,3,5,4,3,4,4,3,4,3,4,无,无
50,C.移动端开发工程师（iOS/Android/跨平台）,C.3-5年,A.Web 应用程序,,C.移动应用程序,,C.经常,C.经常,4,4,2,4,4,4,2,4,4,4,4,4,4,4,4,4,5,4,1,4,4,,
46,A.前端开发工程师,A.不足1年,A.Web 应用程序,,C.移动应用程序,,C.经常,B.很少,1,1,1,1,1,1,1,1,5,1,1,2,1,1,1,1,1,1,1,1,2,,
158,B.全栈开发工程师,D.5年以上,A.Web 应用程序,,C.移动应用程序,,C.经常,C.经常,4,5,5,5,5,4,5,5,5,4,3,4,4,4,5,5,5,2,4,5,5,需求理解复杂，多应用组合在一起较困难,不断提升框架兼容性，多使用AI工具减轻开发者业务量
160,E.其他,A.不足1年,,,,D.其他,B.很少,B.很少,4,3,3,5,3,3,4,4,3,4,3,4,4,3,4,4,4,4,3,3,4,无,无
49,A.前端开发工程师,D.5年以上,A.Web 应用程序,B.桌面应用程序,C.移动应用程序,,C.经常,B.很少,3,3,1,3,3,4,3,3,3,3,3,3,1,3,3,3,1,2,2,3,3,,
40,C.移动端开发工程师（iOS/Android/跨平台）,C.3-5年,A.Web 应用程序,,C.移动应用程序,,C.经常,C.经常,4,4,4,5,4,4,4,4,5,4,4,4,4,3,4,1,3,4,4,5,4,,
144,A.前端开发工程师,C.3-5年,A.Web 应用程序,B.桌面应用程序,,,C.经常,C.经常,2,2,3,5,2,2,1,4,2,5,1,1,3,4,2,2,1,2,4,2,5,跨设备适配难度较高。,引入可视化GUI拖拽开发工具。
239,D.游戏客户端工程师,C.3-5年,,B.桌面应用程序,,,C.经常,B.很少,4,1,4,3,5,4,3,5,3,5,2,3,5,4,5,5,5,3,5,4,5,无,无
73,E.其他,A.不足1年,A.Web 应用程序,,,,C.经常,C.经常,4,5,5,5,4,4,4,4,4,5,4,4,5,4,5,5,5,5,4,4,4,代码结构复杂,优化代码
243,C.移动端开发工程师（iOS/Android/跨平台）,A.不足1年,,,C.移动应用程序,,B.很少,B.很少,3,3,3,3,3,2,2,3,4,2,3,2,3,3,2,3,3,4,4,3,3,性能优化瓶颈，复杂界面（如大量动态组件、高频数据刷新）容易出现卡顿、内存泄漏，尤其是在处理图形渲染、动画效果时，需要平衡视觉表现与运行效率。,模块化分工、自动化测试部署
23,C.移动端开发工程师（iOS/Android/跨平台）,C.3-5年,A.Web 应用程序,B.桌面应用程序,C.移动应用程序,,C.经常,C.经常,2,2,2,2,2,2,3,2,2,2,2,2,2,2,2,2,5,3,2,1,2,,
196,A.前端开发工程师,A.不足1年,A.Web 应用程序,,,,C.经常,B.很少,3,3,3,3,5,4,3,4,4,4,3,3,3,3,2,2,3,2,4,4,4,无,无
98,A.前端开发工程师,C.3-5年,,B.桌面应用程序,,,C.经常,C.经常,4,5,5,4,4,5,4,5,4,5,5,4,5,5,4,5,4,5,5,4,5,编码混乱,无
36,B.全栈开发工程师,D.5年以上,A.Web 应用程序,B.桌面应用程序,C.移动应用程序,,C.经常,C.经常,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,没有了,没有了
34,D.游戏客户端工程师,C.3-5年,A.Web 应用程序,,C.移动应用程序,,C.经常,B.很少,1,1,1,3,3,1,2,1,1,1,1,1,1,5,1,1,1,1,1,2,2,,
319,C.移动端开发工程师（iOS/Android/跨平台）,C.3-5年,A.Web 应用程序,B.桌面应用程序,C.移动应用程序,,B.很少,C.经常,3,2,5,4,5,4,2,4,2,5,3,2,5,5,2,3,2,4,4,2,5,"跨平台兼容性问题（如不同操作系统、屏幕分辨率、DPI 缩放导致的布局错乱）
复杂 UI 组件的性能优化（如大数据量列表、动画流畅度、渲染卡顿）
缺乏统一的 UI 组件库或设计系统，团队协作中样式不一致；","引入可视化 GUI 设计工具（如拖拽式布局编辑器），减少手动编码工作量
采用热重载（Hot Reload）技术，实时预览代码修改对界面的影响
升级框架支持（如更友好的响应式布局 API、内置性能优化工具）"
37,B.全栈开发工程师,C.3-5年,A.Web 应用程序,B.桌面应用程序,,,B.很少,B.很少,4,4,4,4,4,4,4,3,2,3,4,4,4,3,4,4,3,5,4,4,4,,
254,E.其他,D.5年以上,,B.桌面应用程序,C.移动应用程序,,B.很少,B.很少,4,4,3,4,3,4,4,4,4,4,3,3,4,4,4,5,5,4,3,3,3,跨平台的兼容性,优化团队流程
128,A.前端开发工程师,C.3-5年,A.Web 应用程序,B.桌面应用程序,C.移动应用程序,,B.很少,B.很少,4,5,3,4,5,4,3,4,4,5,2,4,4,4,5,4,3,5,4,2,4,标注问题,注释需要明确一点
32,A.前端开发工程师,A.不足1年,A.Web 应用程序,,,,C.经常,C.经常,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,无,无
93,C.移动端开发工程师（iOS/Android/跨平台）,C.3-5年,,,C.移动应用程序,,C.经常,C.经常,4,5,4,5,4,4,4,5,5,4,5,4,4,5,5,4,5,5,4,5,4,渲染太慢,制作
25,C.移动端开发工程师（iOS/Android/跨平台）,D.5年以上,A.Web 应用程序,B.桌面应用程序,C.移动应用程序,,C.经常,C.经常,4,5,4,5,4,5,4,5,4,5,4,5,4,5,4,5,4,5,4,5,4,好,好
47,B.全栈开发工程师,D.5年以上,A.Web 应用程序,,C.移动应用程序,,C.经常,C.经常,4,4,3,4,4,5,4,4,4,4,4,5,3,4,4,4,4,4,4,4,4,,
52,B.全栈开发工程师,A.不足1年,A.Web 应用程序,,,,B.很少,B.很少,3,4,3,3,3,4,3,4,3,3,4,3,3,4,3,3,3,4,4,3,3,无,无
32,A.前端开发工程师,C.3-5年,A.Web 应用程序,B.桌面应用程序,,,B.很少,C.经常,4,4,4,4,4,5,4,4,4,4,4,4,4,5,4,5,4,4,4,4,5,没有,没有
46,C.移动端开发工程师（iOS/Android/跨平台）,C.3-5年,A.Web 应用程序,,C.移动应用程序,D.其他,C.经常,A.从不,3,5,3,3,3,3,3,3,4,3,3,3,3,3,3,3,3,3,3,3,5,,
177,E.其他,A.不足1年,A.Web 应用程序,,,,B.很少,B.很少,4,5,4,5,4,5,4,4,5,5,4,5,4,4,3,4,4,4,4,3,4,流程比较复杂,改进工具
43,C.移动端开发工程师（iOS/Android/跨平台）,D.5年以上,A.Web 应用程序,B.桌面应用程序,C.移动应用程序,,C.经常,C.经常,5,4,5,4,5,4,5,4,5,4,5,4,5,5,5,5,4,5,4,4,5,好,好
40,C.移动端开发工程师（iOS/Android/跨平台）,C.3-5年,,B.桌面应用程序,,,B.很少,B.很少,3,3,3,3,3,4,4,3,4,3,3,3,3,4,3,3,4,4,3,4,4,无,无
318,A.前端开发工程师,D.5年以上,A.Web 应用程序,,,,C.经常,B.很少,2,2,2,5,5,4,3,4,2,4,1,1,2,3,2,3,4,2,4,3,4,不能很好的集成到我常用的IDE中,IDE工具的集成
232,A.前端开发工程师,C.3-5年,,B.桌面应用程序,C.移动应用程序,,C.经常,C.经常,3,5,3,2,3,3,3,5,3,3,4,3,3,3,3,5,4,5,3,1,3,拖拽交互功能的跨浏览器兼容性问题,建立组件版本管理与更新通知机制
38,B.全栈开发工程师,D.5年以上,A.Web 应用程序,B.桌面应用程序,C.移动应用程序,,B.很少,B.很少,2,2,2,2,2,2,2,4,2,2,2,2,2,4,2,2,2,2,4,2,4,无,无
21,C.移动端开发工程师（iOS/Android/跨平台）,A.不足1年,A.Web 应用程序,,C.移动应用程序,,A.从不,A.从不,4,4,4,4,4,4,4,5,4,4,4,4,4,3,5,4,4,4,4,4,4,,
